city_slug,category,tier_order,example_label,price_peak,price_off_peak,display_order,guestCount
napa-sonoma,Florals & Decor,1,Amy Burke Designs or Soulflower Design Studio,42000,33000,3,
napa-sonoma,Florals & Decor,2,PoppyStone Floral or Aimee Lomeli Designs,24000,19000,1,
napa-sonoma,Florals & Decor,2,Dragonfly Floral or Revel Floral,19000,15500,2,
napa-sonoma,Florals & Decor,2,Jennifer Cole Florals or Amanda Vidmar Design,16000,13000,3,
napa-sonoma,Music & Entertainment,1,Premier bands like Take 2 or Downbeat LA (Gold Standard),27000,22000,1,
napa-sonoma,Music & Entertainment,1,Ruby Band or Cover Me Badd,22000,18000,2,
napa-sonoma,Music & Entertainment,1,Lucky Devils Band or Ben Mallare Entertainment,19000,16000,3,
napa-sonoma,Photography & Video,1,Mike Larson Photography or The Dejaureguis,25000,20000,1,
napa-sonoma,Photography & Video,1,JBJ Pictures or Tiffany Longeway Photography,21000,17000,2,
napa-sonoma,Photography & Video,1,Willow and Ben Photography or Meg Sexton Weddings,18000,14500,3,
new-york-city,Florals & Decor,1,Designers like Tulipina or Lewis Miller Design,55000,47000,1,
new-york-city,Florals & Decor,1,Sarcon Flower Couture or Belle Fleur NY,48000,40000,2,
new-york-city,Florals & Decor,1,Ariel Dearie Flowers or Wedded Events,42000,35000,3,
new-york-city,Florals & Decor,2,Nicolette Camille Floral or Beck&Forth Co.,33000,28000,1,
new-york-city,Florals & Decor,2,Peartree or Bridge & Blossom,27000,24000,2,
new-york-city,Florals & Decor,2,Stems & Wonders or Birch Event Design,23000,20000,3,
new-york-city,Florals & Decor,3,Flordel Florist or Ã‰lan Flowers,17000,13500,1,
new-york-city,Florals & Decor,3,Scotts Flowers NYC or Pink Jasmine Designs,13000,10500,2,
new-york-city,Florals & Decor,3,BKLYN Bloom or Marta Floral Brooklyn,10000,8500,3,
new-york-city,Music & Entertainment,1,Hank Lane bands like Luxe or Frank Simmons,32000,25000,1,
new-york-city,Music & Entertainment,1,Hank Lane Ovation or Ignition,28000,22000,2,
new-york-city,Music & Entertainment,1,23 Layers or Elan Artists bands,25000,19500,3,
aspen-vail,Florals & Decor,1,Flower + Vine or Moss Floral (mountain luxury),47000,38000,1,
aspen-vail,Florals & Decor,1,LalÃ© Florals or Aspen Floral Designs,40000,32000,2,
aspen-vail,Florals & Decor,1,Ash + Ether or Rose Petals Floral Design,34000,27000,3,
aspen-vail,Florals & Decor,2,Blush and Bay or La Rue Floral,21000,17500,1,
aspen-vail,Florals & Decor,2,Floral Wild or Juniper Flowers,17000,14500,2,
aspen-vail,Florals & Decor,2,Petalos Floral Design or Mountain Bloom Floral,14000,11500,3,
aspen-vail,Music & Entertainment,1,Premier Denver/SLC bands like 6th Avenue West or Boogie Machine,25000,20000,1,
aspen-vail,Music & Entertainment,1,Hot House West or Liquid Blue (touring premium acts),21000,17000,2,
aspen-vail,Music & Entertainment,1,The DC Players or Soul X bands,18000,14500,3,
los-angeles,Florals & Decor,1,Studios like Jeff Leatham or Mark's Garden,36000,28000,1,
los-angeles,Florals & Decor,1,Eddie Zaratsian Lifestyle & Design or The Petal Workshop,32000,25000,2,
los-angeles,Florals & Decor,1,Empty Vase or Lily Lodge,29000,22500,3,
los-angeles,Florals & Decor,2,The Little Branch or Floral Crush,24000,19000,1,
los-angeles,Florals & Decor,2,My Wedding Blooms or Hidden Garden,20000,16000,2,
los-angeles,Florals & Decor,2,Fraiche or Isa Isa Floral,17000,13500,3,
washington-dc,Florals & Decor,1,Holly Chapple Flowers or Amaryllis Floral,38000,30000,1,
washington-dc,Florals & Decor,1,Sweet Root Village or Helen Olivia Flowers,33000,26000,2,
washington-dc,Florals & Decor,1,Petals & Promises or Multiflor Floral Design,29000,23000,3,
washington-dc,Florals & Decor,2,Lavender & Twine or A Garden Party,24000,19000,1,
washington-dc,Florals & Decor,2,Bergerons Flowers or Karin's Florist,20000,16000,2,
washington-dc,Florals & Decor,2,Volanni or Plenty of Petals,17000,13500,3,
houston,Florals & Decor,1,Plants n' Petals or Maxit Flower Design,45000,36000,1,
houston,Florals & Decor,1,The Events Company or Bergner & Johnson Design,38000,30000,2,
houston,Florals & Decor,1,Belle Flora or Posh Floral Designs,32000,25000,3,
houston,Florals & Decor,2,House of Hough or The Flower Lounge,19000,15000,1,
houston,Florals & Decor,2,Stems Flower Shop or Lexis Florist,16000,12500,2,
houston,Florals & Decor,2,Houston Floral Events or Westchase Florist,13000,10000,3,
san-diego,Florals & Decor,1,Compass Floral or Adornments Flowers & Decor,45000,37000,1,
san-diego,Florals & Decor,1,Plenty of Petals or Garden Wild Floral Studio,38000,32000,2,
san-diego,Florals & Decor,1,Isari Flower Studio or Botanic Allure,32000,27000,3,
san-diego,Florals & Decor,2,Native Poppy or Jennifer Cole Florals,19000,15000,1,
san-diego,Florals & Decor,2,Karenrose Floral Design or Forever Foundlings,15500,12500,2,
san-diego,Florals & Decor,2,Allen's Flowers or Pose A Posy,12500,10000,3,
lake-tahoe,Florals & Decor,1,Haven Florals or Helianthus Floral Design,45000,36000,1,
lake-tahoe,Florals & Decor,1,Love and Lupines or Asteria Weddings,38000,30000,2,
lake-tahoe,Florals & Decor,1,Twine Floral Co. or Awesome Blossom Floral,32000,25000,3,
lake-tahoe,Florals & Decor,2,Thran's Flowers or Twist Flowers,19000,15500,1,
lake-tahoe,Florals & Decor,2,Jesse & Co. Floral or Sage Botanicals,16000,13000,2,
lake-tahoe,Florals & Decor,2,Tahoe Flowers or Sierra Flower Finder,13000,10500,3,
portland,Florals & Decor,1,FranÃ§oise Weeks Floral or Erica Streelman Floral,38000,31000,1,
portland,Florals & Decor,1,Sammy's Flowers or Field & Bouquet,32000,26000,2,
portland,Florals & Decor,1,Best Buds Floral or Geranium Lake Flowers,27000,22000,3,
detroit,Florals & Decor,1,Sweet Pea Floral or Blossoms Birmingham,32000,25500,1,
detroit,Florals & Decor,1,Emerald City Designs or Viviano Flower Shop,27000,22000,2,
detroit,Florals & Decor,1,Thrive Floral Design or Detroit Flower Company,22000,18000,3,
tampa-st-pete,Florals & Decor,1,Botanica International Design or Andrea Layne Floral,38000,31000,1,
tampa-st-pete,Florals & Decor,1,Bruce Wayne Florals or Lemon Drops Weddings & Events,32000,26000,2,
tampa-st-pete,Florals & Decor,1,FH Weddings & Events or Save the Date Florida,27000,22000,3,
salt-lake-city,Florals & Decor,1,Tinge Floral or Calie Rose,28000,23000,1,
salt-lake-city,Florals & Decor,1,Native Flower Company or Sego Floral,23000,19000,2,
salt-lake-city,Florals & Decor,1,Lokal Floral or Petal Pixie SLC,19000,15500,3,
sedona,Florals & Decor,1,Camelback Flowershop or Wild Bloom Floral Design,38000,31000,1,
sedona,Florals & Decor,1,Sedona Floral Design or Forever and Always Farm,32000,26000,2,
sedona,Florals & Decor,1,Posies Flower Truck or Red Rock Floral Co.,27000,22000,3,
maui,Florals & Decor,1,Wildheart Floral Design or Bliss in Bloom,43000,34000,1,
maui,Florals & Decor,1,Studio Flora or Dellables Floral Artistry,36000,29000,2,
maui,Florals & Decor,1,Bella Bloom or Maui Vibes Events,30000,24000,3,
key-west,Florals & Decor,1,Milan Event Floral or Wild Hibiscus Flower Company,38000,31000,1,
key-west,Florals & Decor,1,Andrew Christopher Events or Florida Keys Floral Design,32000,26000,2,
key-west,Florals & Decor,1,Petals Florida Keys or Garden of Eden Floral,27000,22000,3,
asheville,Venue,1,The Biltmore Estate (Lioncrest or Champagne Cellar),26000,18000,1,
asheville,Venue,1,Omni Grove Park Inn (Grand Ballroom premium),23000,16000,2,
asheville,Venue,1,The Cloisters at Carmel or Inn on Biltmore Estate,20500,14000,3,
asheville,Venue,2,Hawkesdene Estate or Engadine Inn & Cabins,19000,13500,1,
asheville,Venue,2,Highland Brewing Company Meadow or The Venue Asheville,16500,11500,2,
asheville,Venue,2,Yesterday Spaces or Crest Center & Pavilion,14500,10000,3,
asheville,Venue,3,The Foundry Hotel or The Crowne Plaza Tennis Resort,14500,10500,1,
asheville,Venue,3,Hyatt Place Asheville Downtown or DoubleTree Biltmore,11000,8000,2,
asheville,Venue,3,Renaissance Asheville Hotel or Cambria Hotel Downtown,9000,6500,3,
atlanta,Venue,1,The St. Regis Atlanta or The Whitlock Inn,25000,17500,1,
atlanta,Venue,1,Swan House at Atlanta History Center or The Estate,22000,15500,2,
atlanta,Venue,1,The Biltmore Ballrooms or Foxhall Resort,20000,14000,3,
atlanta,Venue,2,Summerour Studio or The Estate Atlanta,18500,13000,1,
atlanta,Venue,2,Houston Mill House or Druid Hills Golf Club,16000,11000,2,
atlanta,Venue,2,Park Tavern or Buckhead Theatre,13500,9500,3,
atlanta,Venue,3,Four Seasons Atlanta or The Ritz-Carlton Buckhead,19000,14000,1,
atlanta,Venue,3,InterContinental Buckhead Atlanta or W Atlanta Midtown,15000,11000,2,
atlanta,Venue,3,The Westin Buckhead or JW Marriott Buckhead,11500,8500,3,
atlanta,Venue,4,The Wimbish House or Flourish Atlanta,17000,12500,1,
atlanta,Venue,4,Vinewood Plantation or Trolley Barn,14000,10500,2,
atlanta,Venue,4,The Stave Room or Pratt-Pullman District,12000,9000,3,
austin,Venue,1,The Driskill Hotel or Fairmont Austin (full-floor buyout),42000,28000,1,
austin,Venue,1,Brazos Hall or The Commodore Perry Estate,38000,25500,2,
austin,Venue,1,Barton Creek Resort or The Carillon (UT Etter-Harbin),34000,22000,3,
austin,Venue,2,Barr Mansion & Artisan Ballroom or Mercury Hall,30000,20000,1,
austin,Venue,2,Laguna Gloria or Ma Maison,26000,17500,2,
austin,Venue,2,Vista West Ranch or Pecan Springs Ranch,22500,15000,3,
austin,Venue,3,JW Marriott Austin or Hotel Van Zandt,20000,15000,1,
austin,Venue,3,The LINE Austin or Hyatt Regency Austin,16500,12500,2,
austin,Venue,3,Renaissance Austin Hotel or The Westin Downtown,13500,9500,3,
austin,Venue,4,Prospect House or Hummingbird House,17500,13000,1,
austin,Venue,4,The Allan House or Antebellum Oaks,14000,10500,2,
austin,Venue,4,The Terrace Club or Vintage Villas,11500,8500,3,
boston,Venue,1,The Boston Public Library or Fairmont Copley Plaza,38000,29000,1,
boston,Venue,1,Boston Harbor Hotel or The Liberty Hotel (Charles Street),33000,25000,2,
boston,Venue,1,Castle at Park Plaza or State Room Boston,28000,21000,3,
boston,Venue,2,Lyman Estate or Crane Estate (Castle Hill),31000,23000,1,
boston,Venue,2,Tower Hill Botanic Garden or The Crane Estate,27000,20000,2,
boston,Venue,2,Endicott Estate or Glen Magna Farms,23500,17500,3,
boston,Venue,4,Artists for Humanity EpiCenter or The Cyclorama,21000,16000,1,
boston,Venue,4,The Sinclair or Boston Center for the Arts,17500,13500,2,
boston,Venue,4,Eustis Estate or Tower Hill Botanic Garden,14500,10500,3,
charleston,Venue,1,Lowndes Grove or The William Aiken House,30000,22000,1,
charleston,Venue,1,Middleton Place or Magnolia Plantation Carriage House,27000,20000,2,
charleston,Venue,1,The Cedar Room or Boone Hall Plantation,24000,18000,3,
charleston,Venue,2,The Gadsden House or Founders Hall at Charles Towne Landing,23500,17000,1,
charleston,Venue,2,Hibernian Hall or Thomas Bennett House,20500,14500,2,
charleston,Venue,2,Old Wide Awake Plantation or The Mills House Hotel,18000,13000,3,
charleston,Venue,3,The Charleston Place or Belmond Charleston Place,17500,13000,1,
charleston,Venue,3,The Mills House Wyndham Grand or Renaissance Charleston,14000,10000,2,
charleston,Venue,3,Hyatt Place Charleston Historic District or Francis Marion Hotel,11000,8000,3,
chicago,Venue,1,The Drake Hotel or The Peninsula Chicago,38000,27000,1,
chicago,Venue,1,Chicago Cultural Center or The Field Museum,33000,24000,2,
chicago,Venue,1,The Geraghty or Adler Planetarium,28000,20000,3,
chicago,Venue,2,Bridgeport Art Center or Chez Bistro & Lounge,26000,18500,1,
chicago,Venue,2,Architectural Artifacts or Salvage One,22000,16000,2,
chicago,Venue,2,Galleria Marchetti or Ravenswood Event Center,19000,13500,3,
chicago,Venue,4,Greenhouse Loft or Loft Lucia,17000,12500,1,
chicago,Venue,4,Bridgeport Art Center 4th Floor Skyline Loft or Room 1520,14000,10000,2,
chicago,Venue,4,Morgan Manufacturing or The Joinery,11500,8500,3,
dallas,Venue,1,The Adolphus Hotel or The Ritz-Carlton Dallas,22000,16000,1,
dallas,Venue,1,Hotel Crescent Court or Rosewood Mansion on Turtle Creek,19500,14000,2,
dallas,Venue,1,The Joule Dallas or Fairmont Dallas,17500,12500,3,
dallas,Venue,2,Marie Gabrielle Restaurant & Gardens or Arlington Hall,16500,11500,1,
dallas,Venue,2,Hickory Street Annex or The Room on Main,14000,10000,2,
dallas,Venue,2,Brake & Clutch Warehouse or The Cotton Mill McKinney,12500,9000,3,
dallas,Venue,3,The Westin Galleria Dallas or Omni Dallas Hotel,18000,13500,1,
dallas,Venue,3,Hilton Anatole or Sheraton Dallas Hotel,14000,10500,2,
dallas,Venue,3,Renaissance Dallas Hotel or The Statler Dallas,11000,8000,3,
denver,Venue,1,The Brown Palace Hotel or The Ritz-Carlton Denver,29000,19000,1,
denver,Venue,1,Denver Botanic Gardens (full buyout) or Hotel Teatro,26000,17500,2,
denver,Venue,1,The St. Julien Hotel (Boulder) or Magnolia Hotel Denver,23500,16000,3,
