city,state,slug,market_type,peak_season_start,peak_season_end,llm_context,category,tier_order,tier_name,pricing_type,price_low_peak,price_high_peak,price_low_off_peak,price_high_off_peak,blurb,foodModel,alcoholModel,foodMinimum,alcoholMinimum,minimumIsCombined
Asheville,North Carolina,asheville,metro,May,October,,Music & Entertainment,4,DJ,flat,1200,3000,1000,2500,"A professional wedding DJ for the full reception. Wedding.report puts Asheville DJ spend at $896 to $1,367 on average depending on guest count and season. Carolina Love Events notes DJ is the more common choice for Asheville weddings given the strong cultural fit of live music for ceremony and cocktail hour, with a DJ handling the dance floor efficiently and at lower cost than a full band.",extra,extra,,,false
Asheville,North Carolina,asheville,metro,May,October,,Music & Entertainment,5,Curated Playlist / Friend,flat,100,400,100,350,"A curated playlist managed by a trusted friend through a venue-provided or rented sound system. Works for intimate ceremonies at mountain properties, micro-weddings at farm venues, and small gatherings where the mountain setting provides enough atmosphere that produced entertainment isn't needed.",extra,extra,,,false
Asheville,North Carolina,asheville,metro,May,October,,Photography & Video,1,Luxury Editorial Team,flat,7500,10000,6000,8500,"Lead photographer, dedicated second photographer, and a cinematographer producing a feature film and highlight reel â€” with an engagement session and premium fine-art album included. Top-tier Asheville editorial photographers whose work appears in Style Me Pretty and Junebug Weddings, with deep Biltmore Estate experience and Blue Ridge landscape mastery, operate at this level. At this tier your photographer has shot the Biltmore in every light condition and understands the full visual potential of October foliage.",extra,extra,,,false
Asheville,North Carolina,asheville,metro,May,October,,Photography & Video,2,Lead + Second Shooter + Full Video,flat,5000,7500,4000,6000,"A lead photographer, second shooter, and a separate videography team for full-day Asheville wedding coverage. Wedding.report puts Asheville photo and video combined at $5,244 to $6,410 for 75 guests; skilled Asheville teams with strong portfolios at mountain venues and barns operate in this range. Asheville's photography community is deep and competitive for its size, driven by the region's destination wedding volume.",extra,extra,,,false
Asheville,North Carolina,asheville,metro,May,October,,Photography & Video,3,Lead Photographer + Video,flat,3500,6500,3000,5500,"A strong lead photographer paired with a highlight film videographer. Wedding.report puts solo photography for 75 guests in Asheville at $2,196 to $2,684 on average; adding a highlight film videographer in the $1,878 to $2,300 range brings combined spend to $3,500 to $6,500. Full-day coverage, professionally edited gallery, and a three- to five-minute highlight reel capturing the Blue Ridge mountain backdrop.",extra,extra,,,false
Asheville,North Carolina,asheville,metro,May,October,,Photography & Video,4,Lead Photographer Only,flat,2200,4500,1800,3800,"A single experienced photographer, full-day coverage, no video. Wedding.report puts Asheville solo photography at $2,037 to $2,582 on average for 75 guests; experienced upper-market photographers who know how to work with mountain light and forested backgrounds run $3,000 to $4,500. The Blue Ridge's afternoon light through hardwood canopy is technically demanding â€” experience shooting in that specific environment matters significantly in the final images.",extra,extra,,,false
Asheville,North Carolina,asheville,metro,May,October,,Photography & Video,5,Friend / Hobbyist,flat,200,1000,200,800,"A trusted friend or a newer photographer building their portfolio. Works for Blue Ridge Parkway elopements, micro-weddings at small farm venues, and intimate mountain ceremonies with 20 guests or fewer. For anything at a dedicated venue with a full guest list during foliage season, the investment in a professional who knows how to work with dappled mountain light and dramatic mountain backdrops pays dividends.",extra,extra,,,false
Asheville,North Carolina,asheville,metro,May,October,,Wedding Planner,1,Full-Service Planner,flat,4500,10000,3800,8500,"Full-service planning from studios like Carolina Love Events, known for Asheville destination weddings, and similar firms that specialize in Blue Ridge mountain celebrations. Wedding.report puts Asheville full-service planning at $3,575 to $4,369 on average; experienced firms managing destination weddings for out-of-town couples at mountain estate and barn venues run $4,500 to $10,000. Asheville vendors in peak foliage season â€” October â€” book 12 to 18 months out; a planner's relationships are the difference between securing your first-choice vendors and working with whoever is still available.",extra,extra,,,false
Asheville,North Carolina,asheville,metro,May,October,,Wedding Planner,2,Partial Planning,flat,2200,5000,1800,4200,"Partial planning for couples who have booked their venue and photographer but need local expertise for vendor sourcing and day-of management. The Asheville market's strong vendor community and the complexity of mountain venue logistics â€” transportation to remote properties, weather contingency planning, vendor access to sites without loading docks â€” make local expertise particularly valuable.",extra,extra,,,false
Asheville,North Carolina,asheville,metro,May,October,,Wedding Planner,3,Day-Of Coordinator,flat,1000,2500,900,2000,"Day-of coordination for any mountain venue where vendor logistics, timeline management across a multi-space property, and weather contingency planning require professional management. Wedding.report puts Asheville day-of coordination at $1,454 to $1,887 on average; experienced local coordinators familiar with specific barn and estate venue logistics run $1,000 to $2,500.",extra,extra,,,false
Asheville,North Carolina,asheville,metro,May,October,,Wedding Planner,4,DIY / No Coordinator,flat,0,0,0,0,"No professional planning or coordination. Realistic for intimate elopements at a Blue Ridge Parkway overlook, micro-weddings at a small farm venue with a handful of guests, and simple ceremonies where the couple's network is local and the logistics are minimal. For anything at a destination mountain venue managing six or more vendors â€” particularly for out-of-town couples who don't know the Asheville vendor landscape â€” the absence of a coordinator creates real day-of risk.",extra,extra,,,false
Asheville,North Carolina,asheville,metro,May,October,,Stationery & Invitations,1,Custom Letterpress / Foil,flat,1500,4500,1500,4000,"Bespoke letterpress or foil-stamped suites from Asheville's boutique paper and print designers â€” studios in the River Arts District and the Lexington Avenue arts corridor that specialize in mountain botanical aesthetics: hand-painted wildflowers, fern motifs, and Blue Ridge topographic designs. A fully custom suite with save-the-dates, programs, menus, and escort cards runs $1,500 to $4,500.",extra,extra,,,false
Asheville,North Carolina,asheville,metro,May,October,,Stationery & Invitations,2,Printed Suite (Online Designer),flat,400,1800,400,1600,"Semi-custom and designer-template suites from Minted, Zola, or Artifact Uprising. A standard digitally printed suite of 100 sets runs $537 to $783 on Minted. Add save-the-dates and day-of paper goods, and a full package runs $400 to $1,800.",extra,extra,,,false
Asheville,North Carolina,asheville,metro,May,October,,Stationery & Invitations,3,Digital Invitations,flat,25,110,25,90,"Paperless Post, Zola's digital invite tools, or a custom digital invite. Common for Asheville's environmentally conscious couple community, where digital invitations are a genuine values statement as much as a budget choice. Free platforms available; Paperless Post premium designs run $1 to $3 per send.",extra,extra,,,false
Asheville,North Carolina,asheville,metro,May,October,,Stationery & Invitations,4,No Formal Stationery,flat,0,20,0,15,"Word of mouth, a free Zola or The Knot wedding website, and personal outreach. Appropriate for Blue Ridge elopements, micro-weddings, and intimate mountain ceremonies. A North Carolina marriage license costs $70 in Buncombe County â€” that's the only paper the state requires.",extra,extra,,,false
Asheville,North Carolina,asheville,metro,May,October,,Venue,1,Iconic Estate / Landmark Institution,flat,20000,26000,13500,18000,"The Biltmore Estate â€” George Vanderbilt's 250-room ChÃ¢teauesque mansion on 8,000 acres with a winery, formal gardens, and multiple event spaces â€” is the most celebrated wedding venue in Western North Carolina. Exclusive Saturday event packages run $20,000 to $26,000 for the site alone; full celebrations including Biltmore's preferred caterers regularly reach $50,000 to $80,000-plus. Reserve 18 months out for peak October foliage.",included,included,,,false
Asheville,North Carolina,asheville,metro,May,October,,Venue,2,Private Estate / Historic Mansion,flat,14000,20000,9500,14000,"Chestnut Ridge in Canton (a 150-acre Blue Ridge homestead with sweeping mountain views) and Laurel Falls Historic Wedding Venue (from $13,500 peak weekends) offer the Blue Ridge estate aesthetic â€” stone architecture, meadow panoramas, seasonal wildflowers â€” at site fees of $14,000 to $20,000. A more personal, buyout-focused experience than the city's landmark institution tier.",included,included,,,false
Asheville,North Carolina,asheville,metro,May,October,,Venue,3,Grand Hotel Ballroom,flat,8000,15000,5500,11000,"The Omni Grove Park Inn â€” a historic 1913 Arts and Crafts resort built into the granite face of Sunset Mountain â€” is Asheville's marquee hotel venue, with ballrooms, terraces, and Blue Ridge views. Skylaranna Hotel & Resort offers mountain-view event spaces strong for destination wedding weekends. Hotel venue fees $8,000â€“$15,000 with food and beverage requirements on top.",included,included,,,false
Asheville,North Carolina,asheville,metro,May,October,,Venue,4,Boutique Hotel / Inn Venue,flat,5000,10000,3500,7500,"The Renaissance Asheville Hotel downtown and the Grand Bohemian Hotel on Battery Park Avenue. More intimate scale than the Grove Park, typically 50â€“100 guests, with strong Asheville arts-district character. Site fees $5,000â€“$10,000 depending on property and season.",minimum,minimum,7000,,true
Asheville,North Carolina,asheville,metro,May,October,,Venue,5,Dedicated Wedding Venue,flat,3500,7000,2500,5000,"The Farm â€” 10 miles west of Asheville with sweeping Blue Ridge views and a 12-time Knot Award Winner designation â€” and Hawk & Hawthorne on 50 private acres with a renovated heritage tobacco barn. Highland Brewing Company's three private event spaces bring distinctly Asheville character. Site fees $3,500â€“$7,000.",minimum,extra,5000,,false
Asheville,North Carolina,asheville,metro,May,October,,Venue,6,Industrial / Loft / Studio Space,flat,1800,4000,1200,2800,"The River Arts District's converted industrial spaces â€” including former textile mills and pottery studios â€” and the creative venues of the South Slope brewing corridor. BYO catering typically; site fees $1,800â€“$4,000 on a Saturday. Raw industrial character in a mountain arts-community setting.",minimum,extra,3000,,false
Asheville,North Carolina,asheville,metro,May,October,,Venue,7,Restaurant / Private Buyout,flat,900,2800,700,2000,"Curate on College Street (James Beard-nominated Katie Button), The Market Place on Wall Street, and restaurants on Lexington Avenue. For a couple who wants Asheville's farm-to-table food culture at the center of their wedding, a River Arts District or Lexington Avenue restaurant buyout delivers that at a fraction of the Blue Ridge ranch rate.",included,extra,,,false
Asheville,North Carolina,asheville,metro,May,October,,Venue,8,Public Garden / Park,flat,100,1400,100,1000,"Blue Ridge Parkway overlooks with NPS advance coordination, the North Carolina Arboretum in south Asheville, and the Botanical Gardens at Asheville on W.T. Weaver Boulevard. October foliage makes Blue Ridge Parkway ceremonies extraordinary but requires many months advance booking.",extra,extra,,,false
Asheville,North Carolina,asheville,metro,May,October,,Venue,9,Backyard / Family Property,flat,0,2000,0,1500,"A family property on a hillside in Weaverville, a farm in Leicester, or riverside land along the French Broad. Budget covers tent rental (critical for afternoon mountain showers), portable restrooms, generator access, and any county permits. Tenting is non-negotiable in Western NC weather.",extra,extra,,,false
Aspen / Vail,Colorado,aspen-vail,destination,June,September,,Attire & Beauty,1,Designer / Couture,flat,6500,18000,6500,16000,"Most Aspen-Vail destination couples shop in Denver, Los Angeles, San Francisco, or New York for designer gowns. Denver bridal salons (Anna Be Bridal, Little White Dress in Cherry Creek) carry Vera Wang, Carolina Herrera, and Hayley Paige with gowns running $3,500 to $10,000-plus. Professional alterations ($400 to $700), destination-rate hair and makeup ($500 to $900 per session for on-site mountain wedding bridal packages), and partner attire bring total designer-tier attire and beauty spend to $6,500 to $18,000.",extra,extra,,,false
Aspen / Vail,Colorado,aspen-vail,destination,June,September,,Attire & Beauty,2,Bridal Boutique,flat,2800,7000,2800,6200,"Denver and Aspen boutiques carry mid-to-upper boutique gowns from $1,800 to $4,500 with personalized styling. Aspen has limited bridal boutique inventory; most couples shop in Denver. Mountain destination hair and makeup ($350 to $550 per session) and partner attire bring boutique-tier total to $2,800 to $7,000.",extra,extra,,,false
Aspen / Vail,Colorado,aspen-vail,destination,June,September,,Attire & Beauty,3,Mid-Range / Sample Sale,flat,1000,2800,1000,2600,"Denver sample sales and online platforms including Still White provide boutique gowns at 40 to 70 percent off retail. Mid-range hair and makeup from traveling Denver-area stylists runs $200 to $350 each. Total mid-range attire and beauty for both partners runs $1,000 to $2,800.",extra,extra,,,false
Aspen / Vail,Colorado,aspen-vail,destination,June,September,,Attire & Beauty,4,Budget / Off-the-Rack,flat,350,1100,350,1000,"David's Bridal locations in Denver area, online retailers Azazie and ASOS Wedding offer dresses from $150 to $600. Men's Wearhouse Denver and Indochino Denver cover suit rental and made-to-measure from $200 to $400. Appropriate for elopements at Maroon Bells, courthouse ceremonies at Pitkin or Eagle County, and small private property gatherings.",extra,extra,,,false
Aspen / Vail,Colorado,aspen-vail,destination,June,September,,Bar & Beverages,1,Premium Open Bar,per_head,78,120,65,100,"Premium spirits, craft cocktails built on Colorado's exceptional spirits heritage â€” Stranahan's Colorado Whiskey (Denver-based, nationally celebrated), Leopold Bros (Denver craft spirits), Breckenridge Distillery (the highest distillery in the world at 9,600 feet), and Woody Creek Distillers (Basalt, just outside Aspen) â€” alongside Western Slope wine and Colorado craft beer on full pour. A premium bar package from a licensed bar company for a five-hour reception runs $78 to $120 per head. Colorado requires TIPS-certified bartenders.",extra,extra,,,false
Aspen / Vail,Colorado,aspen-vail,destination,June,September,,Bar & Beverages,2,Standard Open Bar,per_head,55,85,45,72,"Mid-shelf spirits, Western Slope wine (the Grand Valley AVA between Grand Junction and Palisade is Colorado's primary wine region), and Colorado craft beer â€” from Aspen Brewing Company, Vail Brewing Company, Crazy Mountain Brewing in Edwards, New Belgium Brewing (Fort Collins-based but ubiquitous), Oskar Blues, and the broader 400+ Colorado craft brewery scene â€” on full pour. Standard open bar service for a five-hour reception runs $55 to $85 per person.",extra,extra,,,false
Aspen / Vail,Colorado,aspen-vail,destination,June,September,,Bar & Beverages,3,Beer & Wine Only,per_head,35,56,30,47,"Beer and wine service without spirits. A curated Colorado craft beer selection â€” Aspen Brewing, Vail Brewing, Crazy Mountain, New Belgium, Oskar Blues, and the broader Colorado brewing scene â€” alongside Western Slope wine gives a beer-and-wine bar genuine regional character. Budget $35 to $56 per person for professionally managed beer and wine service.",extra,extra,,,false
Aspen / Vail,Colorado,aspen-vail,destination,June,September,,Bar & Beverages,4,Dry Wedding,per_head,7,16,6,14,"No alcohol service. Uncommon in resort destination weddings but accommodated for couples whose religious traditions or preferences exclude alcohol. Non-alcoholic options â€” locally roasted Ink Coffee, Aspen Espresso, sparkling cider, specialty mocktails â€” work for dry receptions. Important note: high altitude affects alcohol absorption dramatically, and many destination wedding couples choose deliberately lighter pours or beer-and-wine-only to manage guest intoxication at 8,000+ feet.",extra,extra,,,false
Aspen / Vail,Colorado,aspen-vail,destination,June,September,,Catering,1,Full-Service Fine Dining,per_head,165,275,135,225,"White-glove plated service built around mountain destination cuisine â€” Rocky Mountain proteins (elk, bison, Colorado lamb), Aspen's legendary restaurant culinary depth (the town has one of the highest Michelin-equivalent ratings per capita in the U.S.), and the elevated mountain dining tradition pioneered at Element 47, Matsuhisa, and the resort-level kitchens at Four Seasons Vail and The Little Nell. Top mountain caterers operate at $165 to $275 per head for full-service plated dining before Colorado sales tax and 22 to 24 percent service charges.",extra,extra,,,false
Aspen / Vail,Colorado,aspen-vail,destination,June,September,,Catering,2,Seated Dinner with Staffed Service,per_head,115,175,95,145,"A full plated or family-style seated dinner with professional staffing. Mountain destination catering pricing runs meaningfully above urban Colorado averages due to vendor travel costs from Denver, the limited local vendor pool, and destination wedding premium pricing. Standalone seated dinner catering through established Aspen-Vail caterers runs $115 to $175 per head before sales tax and service charges.",extra,extra,,,false
Aspen / Vail,Colorado,aspen-vail,destination,June,September,,Catering,3,Buffet / Family Style,per_head,78,120,65,100,"Buffet and family-style service â€” including Colorado mountain spreads with Rocky Mountain proteins, elevated Tex-Mex and Southwestern stations reflecting Colorado's Mexican-American heritage, farm-to-table buffets from Western Slope agriculture, and BBQ stations with bison and elk options. Mountain buffet catering at the mid-market level runs $78 to $120 per head â€” competitive value relative to plated mountain service.",extra,extra,,,false
Aspen / Vail,Colorado,aspen-vail,destination,June,September,,Catering,4,Cocktail Reception / Stations,per_head,52,85,45,72,"Heavy appetizers and food stations â€” Colorado small plates featuring bison sliders, elk charcuterie, Rocky Mountain trout stations, and Western Slope agriculture, paired with passed cocktail bites. Works well at smaller estate venues, intimate Aspen lodge celebrations, and Vail Village restaurant buyouts. Mountain destination cocktail receptions tend to be paired with extensive wine and cocktail service rather than budget-savings positioning.",extra,extra,,,false
Aspen / Vail,Colorado,aspen-vail,destination,June,September,,Catering,5,DIY / Self-Catered,per_head,18,45,16,38,"A private property or rented family home where food comes from beloved mountain institutions â€” Big Wrap or Spring Cafe Aspen for casual catering, Pour House in Vail for pub-style catering, or local Aspen-Vail farms and producers. For anything at The Little Nell, Hotel Jerome, Four Seasons Vail, or major resort venues with exclusive catering requirements (which all major venues maintain), this tier isn't available.",extra,extra,,,false
Aspen / Vail,Colorado,aspen-vail,destination,June,September,,Florals & Decor,1,Couture Floral Design,flat,30000,55000,24000,45000,"Top mountain destination floral studios specializing in alpine wildflower installations, ceremony arches integrating native Colorado columbines and aspen branches, and the elevated mountain wedding aesthetic. Couture programs at Little Nell or Four Seasons Vail-level celebrations with multiple installation pieces and statement reception centerpieces run $30,000 to $55,000.",extra,extra,,,false
Aspen / Vail,Colorado,aspen-vail,destination,June,September,,Florals & Decor,2,Full Floral Installation,flat,12000,24000,10000,20000,"Large-scale floral design with a Rocky Mountain sensibility â€” locally grown garden roses from Western Slope flower farms, alpine wildflowers, aspen branches, and seasonal mountain blooms with installation work scaled to grand venue spaces. Full installation work at Aspen-Vail resort venues runs $12,000 to $24,000.",extra,extra,,,false
Aspen / Vail,Colorado,aspen-vail,destination,June,September,,Florals & Decor,3,Traditional Florals,flat,4500,9500,3800,7800,"The full complement of wedding florals with an alpine character: bridal bouquet of Colorado garden roses and wildflowers with aspen branch accents, ceremony arrangements, and reception centerpieces. A full traditional package at an Aspen-Vail venue runs $4,500 to $9,500 â€” above urban Colorado averages due to vendor travel from Denver and destination-level pricing.",extra,extra,,,false
Aspen / Vail,Colorado,aspen-vail,destination,June,September,,Florals & Decor,4,Minimal Florals + Rentals,flat,2200,5500,1900,4500,"A scaled-back floral plan paired with the inherent decor of mountain venues â€” Maroon Bells' iconic peaks, Vail's mountain backdrop, and the natural alpine wildflower meadows that surround most ceremony sites in summer. Simple greenery runners (aspen branches, evergreen boughs), candles, and a few statement arrangements complement the natural mountain setting.",extra,extra,,,false
Aspen / Vail,Colorado,aspen-vail,destination,June,September,,Florals & Decor,5,DIY / Dried / Greenery Only,flat,300,1700,250,1400,"Dried Rocky Mountain wildflowers, preserved aspen branches, locally foraged greenery (evergreen boughs, pine cones), and arrangements assembled at home. Colorado's extraordinary wildflower season (June through August in the high country) provides natural beauty that minimal arrangements can complement beautifully. For mountaintop ceremonies at Maroon Bells, the natural backdrop genuinely makes elaborate florals unnecessary.",extra,extra,,,false
